SKU,Title,Bullet Points,Main Image,Search Terms,Brand Risk,Variation Status,Status
A001,"Portable Blender for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"portable blender, kitchen, daily use",未发现,正常,优化完成
A002,"Pet Water Fountain for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"pet water fountain, pet supplies, daily use",未发现,正常,优化完成
A003,"LED Desk Lamp for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,,未发现,正常,关键词待优化
A004,"Yoga Mat for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"yoga mat, sports, daily use",未发现,正常,优化完成
A005,"Phone Stand for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use,合规,"phone stand, electronics, daily use",未发现,正常,五点待优化
A006,"Insulated Water Bottle for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"insulated water bottle, outdoor, daily use",未发现,正常,优化完成
A007,"Desk Organizer for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,,未发现,正常,关键词待优化
A008,"Wireless Charger for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"wireless charger, electronics, daily use",未发现,正常,优化完成
A009,"Air Fryer Liners for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"air fryer liners, kitchen, daily use",未发现,正常,优化完成
A010,BEST #1 Resistance Bands - 100% Guaranteed Results,Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"resistance bands, sports, daily use",未发现,正常,标题待优化
A011,"Smart Doorbell for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use,合规,,未发现,待检查,新品待完善
A012,"Car Vacuum Cleaner for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,缺失,,待核验,正常,新品待完善
A013,"Hair Dryer Brush for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,,未发现,待检查,关键词待优化
A014,"Coffee Grinder for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"coffee grinder, kitchen, daily use",未发现,正常,优化完成
A015,"Laptop Stand for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"laptop stand, office, daily use",未发现,正常,优化完成
A016,"Dog Grooming Kit for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"dog grooming kit, pet supplies, daily use",未发现,正常,优化完成
A017,"Solar String Lights for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"solar string lights, outdoor, daily use",未发现,正常,优化完成
A018,"Neck Massager for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"neck massager, health, daily use",待核验,正常,优化完成
A019,"Travel Backpack for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,"travel backpack, luggage, daily use",未发现,正常,优化完成
A020,"Electric Kettle for Home and Travel, Durable Easy-to-Use Design",Durable material；Easy to use；Compact design；Simple care；Everyday value,合规,,未发现,正常,关键词待优化
