SKU,广告活动,广告组,匹配方式,关键词,搜索词,曝光,点击,广告花费,广告订单,广告销售额
A001,SP-A001-Core,AG-A001,精准,portable blender,portable blender,12144,73,54.75,9,359.91
A001,SP-A001-Core,AG-A001,词组,portable blender,best portable blender,9847,51,44.37,4,159.96
A001,SP-A001-Core,AG-A001,广泛,portable blender,cheap kitchen,8176,36,35.64,0,0.0
A001,SP-A001-Core,AG-A001,自动,portable blender,portable blender accessory,6331,23,25.53,1,39.99
A002,SP-A002-Core,AG-A002,精准,pet water fountain,pet water fountain,12325,74,55.5,9,296.91
A002,SP-A002-Core,AG-A002,词组,pet water fountain,best pet water fountain,10626,55,47.85,4,131.96
A002,SP-A002-Core,AG-A002,广泛,pet water fountain,cheap pet supplies,8265,36,35.64,0,0.0
A002,SP-A002-Core,AG-A002,自动,pet water fountain,pet water fountain accessory,6327,23,25.53,1,32.99
A003,SP-A003-Core,AG-A003,精准,led desk lamp,led desk lamp,12150,73,54.75,9,224.91
A003,SP-A003-Core,AG-A003,词组,led desk lamp,best led desk lamp,10135,53,46.11,4,99.96
A003,SP-A003-Core,AG-A003,广泛,led desk lamp,cheap home office,8298,37,36.63,0,0.0
A003,SP-A003-Core,AG-A003,自动,led desk lamp,led desk lamp accessory,6310,23,25.53,1,24.99
A004,SP-A004-Core,AG-A004,精准,yoga mat,yoga mat,11890,71,53.25,9,179.91
A004,SP-A004-Core,AG-A004,词组,yoga mat,best yoga mat,10198,53,46.11,4,79.96
A004,SP-A004-Core,AG-A004,广泛,yoga mat,cheap sports,8439,37,36.63,0,0.0
A004,SP-A004-Core,AG-A004,自动,yoga mat,yoga mat accessory,6662,24,26.64,1,19.99
A005,SP-A005-Core,AG-A005,精准,phone stand,phone stand,11990,72,54.0,9,116.91
A005,SP-A005-Core,AG-A005,词组,phone stand,best phone stand,10141,53,46.11,4,51.96
A005,SP-A005-Core,AG-A005,广泛,phone stand,cheap electronics,8160,36,35.64,0,0.0
A005,SP-A005-Core,AG-A005,自动,phone stand,phone stand accessory,6872,25,27.75,1,12.99
A006,SP-A006-Core,AG-A006,精准,insulated water bottle,insulated water bottle,11849,71,53.25,9,206.91
A006,SP-A006-Core,AG-A006,词组,insulated water bottle,best insulated water bottle,10051,52,45.24,4,91.96
A006,SP-A006-Core,AG-A006,广泛,insulated water bottle,cheap outdoor,8419,37,36.63,0,0.0
A006,SP-A006-Core,AG-A006,自动,insulated water bottle,insulated water bottle accessory,6419,23,25.53,1,22.99
A007,SP-A007-Core,AG-A007,精准,desk organizer,desk organizer,11637,70,52.5,8,135.92
A007,SP-A007-Core,AG-A007,词组,desk organizer,best desk organizer,10249,53,46.11,4,67.96
A007,SP-A007-Core,AG-A007,广泛,desk organizer,cheap office,8522,37,36.63,0,0.0
A007,SP-A007-Core,AG-A007,自动,desk organizer,desk organizer accessory,7091,26,28.86,1,16.99
A008,SP-A008-Core,AG-A008,精准,wireless charger,wireless charger,11867,71,53.25,9,269.91
A008,SP-A008-Core,AG-A008,词组,wireless charger,best wireless charger,9919,52,45.24,4,119.96
A008,SP-A008-Core,AG-A008,广泛,wireless charger,cheap electronics,8236,36,35.64,0,0.0
A008,SP-A008-Core,AG-A008,自动,wireless charger,wireless charger accessory,6322,23,25.53,1,29.99
